Suburb,Towncenter,Postcode,Latitude,Longitude,Nearest,Median Price
Griffith,South Canberra,2603,-35.3253499,149.1371297,1.1494088749983478,16830.0
Gungahlin,Gungahlin,2912,-35.1788782,149.123653,0.0,755.0
Hackett,North Canberra,2602,-35.2495093,149.1635441,3.2647421517753323,6606.5
Harrison,Gungahlin,2914,-35.1990601,149.1561261,3.7073490807174556,679.5
Hawker,Belconnen,2614,-35.2470444,149.0366967,2.257884566477943,3044.7333344232666
Higgins,Belconnen,2615,-35.2324074,149.0272318,1.5476052272943572,689.5
Holder,Weston Creek,2611,-35.3344827,149.0461678,1.0021737802991861,752.5
Holt,Belconnen,2615,-35.2243961,149.0119295,2.855497447646581,643.5
Hughes,Woden Valley,2605,-35.3326252,149.0949433,1.917944019107357,6505.0
Hume,Tuggeranong,2620,-35.3853817,149.1658468,7.614914004740081,3044.7333344232666
Isaacs,Woden Valley,2607,-35.3684711,149.1130988,2.6959337353013875,5652.5
Isabella Plains,Tuggeranong,2905,-35.4280072,149.0940088,0.7999559703593794,639.0
Jacka,Gungahlin,2914,-35.1495163,149.1304298,3.3225073551040163,3044.7333344232666
Kaleen,Belconnen,2617,-35.2277875,149.1091388,4.590837166998527,846.0
Kambah,Tuggeranong,2902,-35.3862287,149.0579669,4.851143106242561,699.0
Kingston,South Canberra,2604,-35.3152303,149.1465925,1.3908237905084602,3044.7333344232666
Latham,Belconnen,2615,-35.2163913,149.0316392,1.6124861621656474,682.0
Lawson,Belconnen,2617,-35.224992,149.0881795,4.0995906688084105,1171.2968653731948
Lyneham,North Canberra,2602,-35.239801,149.1307354,2.738300607519504,1966.8193097734193
Lyons,Woden Valley,2606,-35.3405584,149.0739377,2.096756059944833,6261.5
Macarthur,Tuggeranong,2904,-35.4051323,149.1316729,3.992880413386615,3044.7333344232666
Macgregor,Belconnen,2615,-35.2097738,149.0110215,3.5173802824306066,686.5
Macnamara,Belconnen,2615,-35.2186569,148.9764412,6.13728384555117,3044.7333344232666
Macquarie,Belconnen,2614,-35.2511133,149.0633056,3.207052784815762,1499.1000836687647
Mawson,Woden Valley,2607,-35.3633679,149.0988944,1.5651806066899716,6165.0
McKellar,Belconnen,2617,-35.2174626,149.0770321,3.2717743775476014,1471.1168821069477
Melba,Belconnen,2615,-35.2100744,149.0541275,2.172843076227397,703.5
Mitchell,Gungahlin,2911,-35.2188934,149.1363833,4.597390396310409,3044.7333344232666
Molonglo,Molonglo Valley,0,-35.299828,149.0401986,0.8335467524972101,3044.7333344232666
Monash,Tuggeranong,2904,-35.4157378,149.0906903,0.5970946350019579,737.0
Moncrieff,Gungahlin,2914,-35.158821,149.1163057,2.32810909146891,699.0
Narrabundah,South Canberra,2604,-35.3356919,149.1492215,2.711773886156599,11900.0
Ngunnawal,Gungahlin,2913,-35.1727896,149.1114681,1.2980256402834633,685.5
Nicholls,Gungahlin,2913,-35.1871606,149.0964814,2.6355425569476965,631.4596893369877
O'Connor,North Canberra,2602,-35.2566001,149.1155972,1.765292234173911,12800.0
O'Malley,Woden Valley,2606,-35.3513599,149.1106871,1.5182537773590292,3044.7333344232666
Oxley,Tuggeranong,2903,-35.4094421,149.0786481,1.7716435916634263,3044.7333344232666
Page,Belconnen,2614,-35.2385472,149.0499405,1.3812996752023745,1401.1588782024055
Palmerston,Gungahlin,2913,-35.1944606,149.1194145,1.7749839841686463,727.5
Parkes,South Canberra,2600,-35.2959153,149.1351557,2.279085398473803,3044.7333344232666
Pearce,Woden Valley,2607,-35.36217,149.0835894,1.6654771355711389,6105.0
Phillip,Woden Valley,2606,-35.3470436,149.091009,0.417048475643823,3044.7333344232666
Red Hill,South Canberra,2603,-35.3334376,149.1205858,2.152428834705476,11102.22157070839
Reid,North Canberra,2612,-35.2825977,149.1412207,2.17320105445428,3044.7333344232666
Richardson,Tuggeranong,2905,-35.4279022,149.1139473,2.1212137034381113,1241.2548692777373
Rivett,Weston Creek,2611,-35.3470708,149.0379828,0.9793573981350667,730.0
Russell,North Canberra,2600,-35.2979599,149.1502795,2.6577885085047086,3044.7333344232666
Scullin,Belconnen,2614,-35.2345341,149.0390718,0.8719154400705118,1249.2500697239707
Spence,Belconnen,2615,-35.1987316,149.0643556,3.728122499892977,516.7700731110513
Stirling,Weston Creek,2611,-35.3495843,149.0493585,0.7024339753728419,3044.7333344232666
Strathnairn,Belconnen,2615,-35.2323902,148.985554,5.259923070730835,477.42886754517764
Taylor,Gungahlin,2913,-35.1468038,149.1071989,3.867464709692416,724.5
Theodore,Tuggeranong,2905,-35.4496107,149.1197437,4.048982785903029,642.5
Throsby,Gungahlin,2914,-35.1889539,149.1617493,3.6389728838495095,713.5
Torrens,Woden Valley,2607,-35.37195,149.0878797,2.519382366022891,883.5
Turner,North Canberra,2612,-35.2688704,149.1245771,0.8786741390835121,3044.7333344232666
Wanniassa,Tuggeranong,2903,-35.3976642,149.0908045,2.595078882263155,699.0
Waramanga,Weston Creek,2611,-35.3528151,149.0622152,1.675379107232674,757.5
Watson,North Canberra,2602,-35.2348235,149.1594458,4.095278130581951,5567.5
Weetangera,Belconnen,2614,-35.2501136,149.049737,2.591961293101171,6934.720981103139
Weston,Weston Creek,2611,-35.3324882,149.0587356,1.5671581289022882,838.0
Whitlam,Molonglo Valley,0,-35.2780956,149.0363976,2.942999974831208,3044.7333344232666
Wright,Molonglo Valley,2611,-35.3192644,149.0336167,1.652823176323851,783.0
Yarralumla,South Canberra,2600,-35.3040411,149.0986347,3.256986509702126,15775.0
