Suburb,Towncenter,Postcode,Latitude,Longitude,Nearest
Parkes,South Canberra,2600,-35.2959153,149.1351557,2.279085398473803
Pearce,Woden Valley,2607,-35.36217,149.0835894,1.6654771355711389
Phillip,Woden Valley,2606,-35.3470436,149.091009,0.417048475643823
Red Hill,South Canberra,2603,-35.3334376,149.1205858,2.152428834705476
Reid,North Canberra,2612,-35.2825977,149.1412207,2.17320105445428
Richardson,Tuggeranong,2905,-35.4279022,149.1139473,2.1212137034381113
Rivett,Weston Creek,2611,-35.3470708,149.0379828,0.9793573981350667
Russell,North Canberra,2600,-35.2979599,149.1502795,2.6577885085047086
Scullin,Belconnen,2614,-35.2345341,149.0390718,0.8719154400705118
Spence,Belconnen,2615,-35.1987316,149.0643556,3.728122499892977
Stirling,Weston Creek,2611,-35.3495843,149.0493585,0.7024339753728419
Strathnairn,Belconnen,2615,-35.2323902,148.985554,5.259923070730835
Taylor,Gungahlin,2913,-35.1468038,149.1071989,3.867464709692416
Theodore,Tuggeranong,2905,-35.4496107,149.1197437,4.048982785903029
Throsby,Gungahlin,2914,-35.1889539,149.1617493,3.6389728838495095
Torrens,Woden Valley,2607,-35.37195,149.0878797,2.519382366022891
Turner,North Canberra,2612,-35.2688704,149.1245771,0.8786741390835121
Wanniassa,Tuggeranong,2903,-35.3976642,149.0908045,2.595078882263155
Waramanga,Weston Creek,2611,-35.3528151,149.0622152,1.675379107232674
Watson,North Canberra,2602,-35.2348235,149.1594458,4.095278130581951
Weetangera,Belconnen,2614,-35.2501136,149.049737,2.591961293101171
Weston,Weston Creek,2611,-35.3324882,149.0587356,1.5671581289022882
Whitlam,Molonglo Valley,0,-35.2780956,149.0363976,2.942999974831208
Wright,Molonglo Valley,2611,-35.3192644,149.0336167,1.652823176323851
Yarralumla,South Canberra,2600,-35.3040411,149.0986347,3.256986509702126
